task,skill,layer,v_cos,v_rel_l2,k_raw_cos,k_cos,k_rel_l2
web_artifact_with_theme,theme-factory,39,0.931,0.32,0.7492,0.9836,0.1647
launch_poster_page_pack,canvas-design,0,1.0,0.0,0.9237,1.0,0.0023
launch_poster_page_pack,canvas-design,1,0.9952,0.0856,0.6692,0.9992,0.0345
launch_poster_page_pack,canvas-design,2,0.991,0.1141,0.7024,0.9974,0.0623
launch_poster_page_pack,canvas-design,3,0.9915,0.1148,0.4668,0.9935,0.1028
launch_poster_page_pack,canvas-design,4,0.9908,0.1185,0.5489,0.9934,0.1008
launch_poster_page_pack,canvas-design,5,0.9863,0.1441,0.5599,0.9957,0.0822
launch_poster_page_pack,canvas-design,6,0.9882,0.137,0.3538,0.9889,0.1278
launch_poster_page_pack,canvas-design,7,0.9905,0.1207,0.7565,0.9954,0.0903
launch_poster_page_pack,canvas-design,8,0.9901,0.1224,0.7935,0.9974,0.0649
launch_poster_page_pack,canvas-design,9,0.9931,0.103,0.6091,0.9966,0.0761
launch_poster_page_pack,canvas-design,10,0.9923,0.107,0.8499,0.998,0.051
launch_poster_page_pack,canvas-design,11,0.9915,0.1127,0.6331,0.996,0.0763
launch_poster_page_pack,canvas-design,12,0.9873,0.1387,0.5582,0.9874,0.1396
launch_poster_page_pack,canvas-design,13,0.9831,0.1617,0.545,0.9868,0.1461
launch_poster_page_pack,canvas-design,14,0.9749,0.1965,0.5408,0.988,0.138
launch_poster_page_pack,canvas-design,15,0.9755,0.1953,0.6127,0.9837,0.163
launch_poster_page_pack,canvas-design,16,0.966,0.2316,0.7547,0.9864,0.1503
launch_poster_page_pack,canvas-design,17,0.9642,0.2465,0.5847,0.9681,0.2372
launch_poster_page_pack,canvas-design,18,0.9582,0.259,0.6313,0.9598,0.2651
launch_poster_page_pack,canvas-design,19,0.9631,0.2396,0.5544,0.9612,0.2606
launch_poster_page_pack,canvas-design,20,0.9591,0.2465,0.6407,0.9666,0.2388
launch_poster_page_pack,canvas-design,21,0.9536,0.2693,0.6994,0.9459,0.3146
launch_poster_page_pack,canvas-design,22,0.9536,0.2646,0.6146,0.9691,0.2215
launch_poster_page_pack,canvas-design,23,0.9567,0.2477,0.6583,0.9627,0.2569
launch_poster_page_pack,canvas-design,24,0.9574,0.2453,0.7188,0.9464,0.3109
