offset,region,mode,layer,mass_mean_over_cases
90,skill_span,rope,10,0.045705
90,skill_span,rope,11,0.038244
90,skill_span,rope,12,0.045682
90,skill_span,rope,13,0.051372
90,skill_span,rope,14,0.039043
90,skill_span,rope,15,0.033895
90,skill_span,rope,16,0.043605
90,skill_span,rope,17,0.043283
90,skill_span,rope,18,0.027628
90,skill_span,rope,19,0.026828
90,skill_span,rope,20,0.026664
90,skill_span,rope,21,0.023973
90,skill_span,rope,22,0.029592
90,skill_span,rope,23,0.015368
90,skill_span,rope,24,0.023044
90,skill_span,rope,25,0.029713
90,skill_span,rope,26,0.020383
90,skill_span,rope,27,0.030448
90,skill_span,rope,28,0.026274
90,skill_span,rope,29,0.023050
90,skill_span,rope,30,0.020803
90,skill_span,rope,31,0.034644
90,skill_span,rope,32,0.026345
90,skill_span,rope,33,0.024347
90,skill_span,rope,34,0.018832
90,skill_span,rope,35,0.028948
90,skill_span,rope,36,0.015577
90,skill_span,rope,37,0.024468
90,skill_span,rope,38,0.026117
90,skill_span,rope,39,0.061175
90,pre_skill_context,recompute,0,0.028551
90,pre_skill_context,recompute,1,0.040266
90,pre_skill_context,recompute,2,0.048750
90,pre_skill_context,recompute,3,0.037227
90,pre_skill_context,recompute,4,0.039590
90,pre_skill_context,recompute,5,0.045694
90,pre_skill_context,recompute,6,0.028454
90,pre_skill_context,recompute,7,0.011587
90,pre_skill_context,recompute,8,0.005038
90,pre_skill_context,recompute,9,0.010952
90,pre_skill_context,recompute,10,0.006415
90,pre_skill_context,recompute,11,0.007154
90,pre_skill_context,recompute,12,0.025916
90,pre_skill_context,recompute,13,0.017043
90,pre_skill_context,recompute,14,0.028714
90,pre_skill_context,recompute,15,0.030927
90,pre_skill_context,recompute,16,0.031497
90,pre_skill_context,recompute,17,0.053400
90,pre_skill_context,recompute,18,0.044779
90,pre_skill_context,recompute,19,0.041958
90,pre_skill_context,recompute,20,0.040423
90,pre_skill_context,recompute,21,0.091486
90,pre_skill_context,recompute,22,0.049246
90,pre_skill_context,recompute,23,0.039005
90,pre_skill_context,recompute,24,0.057759
90,pre_skill_context,recompute,25,0.037432
90,pre_skill_context,recompute,26,0.040852
90,pre_skill_context,recompute,27,0.032549
90,pre_skill_context,recompute,28,0.042309
90,pre_skill_context,recompute,29,0.031284
90,pre_skill_context,recompute,30,0.028852
90,pre_skill_context,recompute,31,0.032283
90,pre_skill_context,recompute,32,0.024569
90,pre_skill_context,recompute,33,0.025523
90,pre_skill_context,recompute,34,0.030294
90,pre_skill_context,recompute,35,0.034451
90,pre_skill_context,recompute,36,0.020559
90,pre_skill_context,recompute,37,0.020090
90,pre_skill_context,recompute,38,0.019570
90,pre_skill_context,recompute,39,0.011435
90,pre_skill_context,rope,0,0.032108
90,pre_skill_context,rope,1,0.038542
90,pre_skill_context,rope,2,0.049212
90,pre_skill_context,rope,3,0.040597
90,pre_skill_context,rope,4,0.043443
90,pre_skill_context,rope,5,0.046488
90,pre_skill_context,rope,6,0.031885
90,pre_skill_context,rope,7,0.012086
90,pre_skill_context,rope,8,0.006577
90,pre_skill_context,rope,9,0.008486
90,pre_skill_context,rope,10,0.008680
90,pre_skill_context,rope,11,0.008494
90,pre_skill_context,rope,12,0.033165
90,pre_skill_context,rope,13,0.020786
90,pre_skill_context,rope,14,0.027799
90,pre_skill_context,rope,15,0.033336
90,pre_skill_context,rope,16,0.040059
90,pre_skill_context,rope,17,0.057538
90,pre_skill_context,rope,18,0.052360
90,pre_skill_context,rope,19,0.055520
90,pre_skill_context,rope,20,0.052757
90,pre_skill_context,rope,21,0.119628
90,pre_skill_context,rope,22,0.071353
90,pre_skill_context,rope,23,0.060200
90,pre_skill_context,rope,24,0.086390
90,pre_skill_context,rope,25,0.062138
90,pre_skill_context,rope,26,0.071576
90,pre_skill_context,rope,27,0.046860
90,pre_skill_context,rope,28,0.066604
90,pre_skill_context,rope,29,0.052833
90,pre_skill_context,rope,30,0.042133
90,pre_skill_context,rope,31,0.045884
90,pre_skill_context,rope,32,0.040428
90,pre_skill_context,rope,33,0.042681
90,pre_skill_context,rope,34,0.047934
90,pre_skill_context,rope,35,0.052355
90,pre_skill_context,rope,36,0.033392
90,pre_skill_context,rope,37,0.033295
90,pre_skill_context,rope,38,0.031720
90,pre_skill_context,rope,39,0.013641
120,skill_span,recompute,0,0.152763
120,skill_span,recompute,1,0.171010
120,skill_span,recompute,2,0.207949
120,skill_span,recompute,3,0.157597
120,skill_span,recompute,4,0.156686
120,skill_span,recompute,5,0.134812
120,skill_span,recompute,6,0.099713
120,skill_span,recompute,7,0.035434
120,skill_span,recompute,8,0.027845
120,skill_span,recompute,9,0.023941
120,skill_span,recompute,10,0.031889
120,skill_span,recompute,11,0.027687
120,skill_span,recompute,12,0.025876
120,skill_span,recompute,13,0.026411
120,skill_span,recompute,14,0.026584
120,skill_span,recompute,15,0.021673
120,skill_span,recompute,16,0.023602
120,skill_span,recompute,17,0.027885
120,skill_span,recompute,18,0.014848
120,skill_span,recompute,19,0.017496
120,skill_span,recompute,20,0.021316
120,skill_span,recompute,21,0.032973
120,skill_span,recompute,22,0.040067
120,skill_span,recompute,23,0.030750
120,skill_span,recompute,24,0.041541
120,skill_span,recompute,25,0.037386
120,skill_span,recompute,26,0.044680
120,skill_span,recompute,27,0.035602
120,skill_span,recompute,28,0.033478
120,skill_span,recompute,29,0.032505
120,skill_span,recompute,30,0.031996
120,skill_span,recompute,31,0.035046
120,skill_span,recompute,32,0.026357
120,skill_span,recompute,33,0.031286
120,skill_span,recompute,34,0.027584
120,skill_span,recompute,35,0.029719
120,skill_span,recompute,36,0.029862
120,skill_span,recompute,37,0.025408
120,skill_span,recompute,38,0.025967
120,skill_span,recompute,39,0.021241
120,skill_span,rope,0,0.144087
120,skill_span,rope,1,0.214885
120,skill_span,rope,2,0.228416
120,skill_span,rope,3,0.173458
120,skill_span,rope,4,0.180072
120,skill_span,rope,5,0.171695
120,skill_span,rope,6,0.119746
120,skill_span,rope,7,0.054647
120,skill_span,rope,8,0.039008
120,skill_span,rope,9,0.035086
120,skill_span,rope,10,0.044313
120,skill_span,rope,11,0.038587
120,skill_span,rope,12,0.049064
120,skill_span,rope,13,0.045327
120,skill_span,rope,14,0.036390
120,skill_span,rope,15,0.037819
120,skill_span,rope,16,0.041623
120,skill_span,rope,17,0.036467
120,skill_span,rope,18,0.027263
120,skill_span,rope,19,0.025618
120,skill_span,rope,20,0.026504
120,skill_span,rope,21,0.025090
120,skill_span,rope,22,0.029056
120,skill_span,rope,23,0.018888
120,skill_span,rope,24,0.027970
120,skill_span,rope,25,0.030595
120,skill_span,rope,26,0.021159
120,skill_span,rope,27,0.032307
120,skill_span,rope,28,0.027812
120,skill_span,rope,29,0.023285
120,skill_span,rope,30,0.019900
120,skill_span,rope,31,0.036115
120,skill_span,rope,32,0.024162
120,skill_span,rope,33,0.023149
120,skill_span,rope,34,0.020124
120,skill_span,rope,35,0.025289
120,skill_span,rope,36,0.014048
120,skill_span,rope,37,0.021470
120,skill_span,rope,38,0.022757
120,skill_span,rope,39,0.058679
120,pre_skill_context,recompute,0,0.025880
120,pre_skill_context,recompute,1,0.037232
120,pre_skill_context,recompute,2,0.043962
120,pre_skill_context,recompute,3,0.031991
120,pre_skill_context,recompute,4,0.037630
120,pre_skill_context,recompute,5,0.040545
120,pre_skill_context,recompute,6,0.025370
120,pre_skill_context,recompute,7,0.009242
120,pre_skill_context,recompute,8,0.005278
120,pre_skill_context,recompute,9,0.004118
120,pre_skill_context,recompute,10,0.006192
120,pre_skill_context,recompute,11,0.005011
120,pre_skill_context,recompute,12,0.024566
120,pre_skill_context,recompute,13,0.013374
120,pre_skill_context,recompute,14,0.017536
120,pre_skill_context,recompute,15,0.021664
