timestamp,mem_available_kb,swap_used_kb,pswpin,pswpout,pgpgin,pgpgout,pid_majflt,swap_pss_kb,swap_kb,locked_kb,vmlck_kb,anon_kb,pss_anon_kb,pss_file_kb,private_dirty_kb
1782706738.134764582,80317388,301736,8012301,16604204,1530416283,3496759033,234358,0,0,0,0,2006520,2006520,386318,32298920
1782706739.411059162,80315128,301736,8012301,16604204,1530416283,3496759169,234358,0,0,0,0,2006520,2006520,386318,32298920
1782706740.692824214,80313116,301736,8012301,16604204,1530416283,3496759305,234358,0,0,0,0,2006520,2006520,386318,32298920
1782706741.969836847,80314596,301736,8012301,16604204,1530416283,3496760065,234358,0,0,0,0,2006520,2006520,386315,32298920
1782706743.250156332,80315688,301736,8012301,16604204,1530416283,3496760201,234358,0,0,0,0,2006520,2006520,386318,32298920
1782706744.529353306,80315764,301736,8012301,16604204,1530416283,3496760337,234358,0,0,0,0,2006520,2006520,386318,32298920
1782706745.804117176,80314024,301736,8012301,16604204,1530416283,3496760449,234358,0,0,0,0,2006520,2006520,386318,32298920
1782706747.082018179,80318700,301736,8012301,16604204,1530416283,3496762313,234358,0,0,0,0,2006520,2006520,386315,32298920
1782706748.358992955,80318068,301736,8012301,16604204,1530416283,3496762421,234358,0,0,0,0,2006520,2006520,386318,32298920
1782706749.637516177,80315588,301736,8012301,16604204,1530416283,3496762557,234358,0,0,0,0,2006520,2006520,386318,32298920
1782706750.917215104,80316992,301736,8012301,16604204,1530416283,3496762693,234358,0,0,0,0,2006520,2006520,386318,32298920
1782706752.195595074,80319060,301736,8012301,16604204,1530416283,3496763009,234358,0,0,0,0,2006580,2006580,386315,32298980
1782706753.475943494,80317780,301736,8012301,16604204,1530416283,3496763113,234358,0,0,0,0,2006580,2006580,386318,32298980
1782706754.755871818,80316520,301736,8012301,16604204,1530416283,3496763249,234358,0,0,0,0,2006580,2006580,386318,32298980
1782706756.020476253,80318196,301736,8012301,16604204,1530416283,3496763353,234358,0,0,0,0,2006580,2006580,386318,32298980
1782706757.299355167,80314248,301736,8012301,16604204,1530416283,3496763489,234358,0,0,0,0,2006580,2006580,386318,32298980
1782706758.578123723,80316464,301736,8012301,16604204,1530416283,3496763625,234358,0,0,0,0,2006580,2006580,386318,32298980
1782706759.855757646,80316980,301736,8012301,16604204,1530416283,3496763729,234358,0,0,0,0,2006580,2006580,386318,32298980
1782706761.131589463,80316484,301736,8012301,16604204,1530416283,3496763861,234358,0,0,0,0,2006580,2006580,386318,32298980
1782706762.411576592,80314252,301736,8012301,16604204,1530416283,3496763965,234358,0,0,0,0,2006580,2006580,386318,32298980
1782706763.690963139,80311292,301736,8012301,16604204,1530416283,3496764101,234358,0,0,0,0,2006580,2006580,386318,32298980
1782706764.972532731,80313096,301736,8012301,16604204,1530416283,3496764237,234358,0,0,0,0,2006580,2006580,386318,32298980
1782706766.252479294,80314576,301736,8012301,16604204,1530416283,3496764341,234358,0,0,0,0,2006580,2006580,386315,32298980
1782706767.526371863,80318836,301736,8012301,16604204,1530416283,3496764505,234358,0,0,0,0,2006580,2006580,386318,32298980
1782706768.806307459,80318612,301736,8012301,16604204,1530416283,3496764641,234358,0,0,0,0,2006580,2006580,386318,32298980
1782706770.080446840,80317132,301736,8012301,16604204,1530416283,3496764745,234358,0,0,0,0,2006748,2006748,386318,32299148
1782706771.360832894,80316516,301736,8012301,16604204,1530416283,3496764881,234358,0,0,0,0,2006748,2006748,386315,32299148
1782706772.641214563,80312992,301736,8012301,16604204,1530416283,3496765037,234358,0,0,0,0,2006748,2006748,386318,32299148
1782706773.920518726,80317040,301736,8012301,16604204,1530416283,3496765141,234358,0,0,0,0,2006748,2006748,386318,32299148
1782706775.198654157,80318300,301736,8012301,16604204,1530416283,3496765453,234358,0,0,0,0,2006748,2006748,386318,32299148
1782706776.478532187,80318132,301736,8012301,16604204,1530416283,3496765597,234358,0,0,0,0,2006748,2006748,386315,32299148
1782706777.757384326,80316144,301736,8012301,16604204,1530416283,3496768497,234358,0,0,0,0,2006748,2006748,386318,32299148
